Name,Student ID,Email,Gender,Course,Hobbies,Academic Interests,Extracurricular Interests,Past Club Involvement,Past Clubs,Skills,Preferred Content Types,Activity Frequency
Eric Wright,STU1000,eelliott@example.com,Male,Computer Science,"['Reading', 'Arts', 'Writing']","['History', 'Biology']","['Drama', 'Photography', 'Debate']",Yes,"['little', 'land']",['Public Speaking'],"['Events', 'Videos', 'Tutorials']",Monthly
Melissa Lopez,STU1001,lewisnathaniel@example.net,Male,Literature,"['Cooking', 'Writing', 'Technology']",['Mathematics'],"['Drama', 'Music Band']",No,[],"['Event Planning', 'Public Speaking', 'Programming']","['Tutorials', 'Events']",Bi-weekly
Felicia Kirby,STU1002,mlewis@example.net,Female,Computer Science,"['Science', 'Music']",['Literature'],['Robotics'],No,[],"['Event Planning', 'Design', 'Leadership']",['Podcasts'],Weekly
Shane Hunt,STU1003,ballann@example.com,Other,Computer Science,"['Gaming', 'Travel']","['Data Science', 'History']","['Robotics', 'Debate', 'Photography']",Yes,[],"['Public Speaking', 'Leadership', 'Writing']","['Articles', 'Events']",Monthly
Michael Wilcox,STU1004,billyromero@example.com,Female,Computer Science,"['Writing', 'Travel', 'Arts']",['Physics'],"['Debate', 'Drama', 'Robotics']",No,[],"['Event Planning', 'Programming']",['Videos'],Bi-weekly
Debbie Meza,STU1005,esmith@example.org,Male,Mathematics,['Science'],"['Data Science', 'Mathematics']","['Drama', 'Photography']",No,[],['Programming'],"['Videos', 'Events']",Weekly
Lauren Rivera,STU1006,david45@example.com,Other,Literature,"['Sports', 'Gaming']","['Mathematics', 'Literature']","['Sports Teams', 'Music Band', 'Robotics']",No,[],"['Event Planning', 'Public Speaking']","['Events', 'Podcasts', 'Articles']",Monthly
Bobby Mason,STU1007,ruizashley@example.org,Other,Physics,"['Music', 'Arts', 'Science']","['Physics', 'Mathematics']","['Photography', 'Debate']",Yes,[],['Writing'],"['Videos', 'Podcasts']",Bi-weekly
Shannon Dodson,STU1008,rebecca47@example.org,Female,History,['Writing'],"['Literature', 'Data Science']","['Drama', 'Debate']",No,"['daughter', 'bill']",['Design'],"['Videos', 'Articles', 'Events']",Monthly
William Brooks,STU1009,joshua44@example.net,Other,Biology,"['Reading', 'Technology', 'Sports']",['History'],"['Robotics', 'Music Band', 'Volunteering']",Yes,[],"['Design', 'Public Speaking', 'Leadership']","['Tutorials', 'Articles', 'Videos']",Weekly
Crystal Adkins,STU1010,robertsonrobert@example.org,Other,Physics,['Sports'],"['Mathematics', 'Biology']","['Sports Teams', 'Debate', 'Robotics']",Yes,[],"['Leadership', 'Design', 'Event Planning']",['Videos'],Weekly
Timothy Reilly,STU1011,cameron83@example.org,Male,Computer Science,['Arts'],"['Engineering', 'AI', 'History']",['Photography'],No,"['despite', 'market']","['Public Speaking', 'Programming']","['Podcasts', 'Tutorials', 'Videos']",Bi-weekly
Tara Shepherd,STU1012,todd44@example.net,Male,Computer Science,['Cooking'],"['History', 'Literature', 'AI']",['Photography'],Yes,[],"['Leadership', 'Event Planning']",['Videos'],Bi-weekly
Ricky Black,STU1013,ronald68@example.com,Female,Physics,"['Reading', 'Science']",['Data Science'],"['Music Band', 'Drama']",Yes,"['management', 'his']","['Programming', 'Event Planning']","['Articles', 'Videos']",Monthly
Louis Johnson,STU1014,lukecarter@example.com,Female,Computer Science,"['Travel', 'Cooking']","['Data Science', 'Literature']",['Volunteering'],No,"['traditional', 'model']",['Writing'],"['Tutorials', 'Events', 'Videos']",Monthly
